Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (CZK),Total (CZK),ID,Currency conversion fee (CZK)
Market buy,2021-12-30 19:54:14,US88688T1007,TLRY,"Tilray Brands",1.0000000000,7.41,USD,0.04554,,162.95,EOF1729071830,0.24
Market buy,2021-12-31 14:30:05,US02079K1079,GOOG,"Alphabet (Class C)",0.0018768000,2913.78,USD,0.04564,,120.00,EOF1729098313,0.18
Market buy,2021-12-31 14:30:10,US1912161007,KO,"Coca-Cola",0.0619820000,58.82,USD,0.04564,,80.00,EOF1729100131,0.12
Market buy,2021-12-31 14:30:12,US30303M1027,META,"Meta Platforms",0.0093031000,343.41,USD,0.04564,,70.00,EOF1729100632,
Market buy,2021-12-31 14:30:13,US0378331005,AAPL,"Apple",0.0306799000,178.25,USD,0.04564,,120.00,EOF1729100787,0.18
Market buy,2021-12-31 14:30:14,US5801351017,MCD,"McDonald's",0.0135986000,268.10,USD,0.04564,,80.00,EOF1729101023,0.12
Market buy,2021-12-31 14:30:15,US0231351067,AMZN,"Amazon",0.0017516200,3382.05,USD,0.04564,,130.00,EOF1729101172,0.20
Market buy,2021-12-31 14:30:23,US5949181045,MSFT,"Microsoft",0.0161466000,338.69,USD,0.04564,,120.00,EOF1729101922,0.18
Market buy,2021-12-31 14:30:25,US88160R1014,TSLA,"Tesla",0.0033977600,1073.00,USD,0.04564,,80.00,EOF1729102049,0.12
Market buy,2021-12-31 14:30:30,US67066G1040,NVDA,"Nvidia",0.0107866000,296.18,USD,0.04564,,70.00,EOF1729102319,
Market buy,2022-01-04 08:01:52,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.0647450000,67.52,GBP,0.03368,,129.99,EOF1733056843,0.19
Market buy,2022-01-04 13:57:16,IE00B3XXRP09,VUSA,"Vanguard S&P 500 (Dist)",0.0648170000,67.53,GBP,0.03372,,129.99,EOF1733094657,0.19
Market buy,2022-01-04 14:30:19,US5949181045,MSFT,"Microsoft",0.0163412000,334.70,USD,0.04564,,120.00,EOF1733101254,0.18
Market buy,2022-01-04 14:30:19,US02079K1079,GOOG,"Alphabet (Class C)",0.0018781900,2912.05,USD,0.04564,,120.00,EOF1733101201,0.18
Market buy,2022-01-04 14:30:34,US30303M1027,META,"Meta Platforms",0.0094048000,339.74,USD,0.04564,,70.00,EOF1734154020,
Market buy,2022-01-04 14:30:36,US67066G1040,NVDA,"Nvidia",0.0104870000,304.68,USD,0.04564,,70.00,EOF1734154207,
Market buy,2022-01-04 14:30:41,US1912161007,KO,"Coca-Cola",0.0609830000,59.79,USD,0.04564,,80.00,EOF1734154590,0.12
Market buy,2022-01-04 14:30:44,US0378331005,AAPL,"Apple",0.0299857000,182.40,USD,0.04564,,120.00,EOF1734154714,0.18
